"source","target"
1017115,2120879
1032817,1302430
1032817,1451598
1032817,83791
1032817,1958789
1032817,4966088
1078060,1451598
1081966,1451598
1066389,83791
1084433,83791
1061337,4773532
1089544,94363
1090631,94363
1092963,94363
1094838,1451598
1115454,83791
1096460,2337662
1125273,131550
1135493,131550
1117199,94363
1118591,83791
1131629,83791
1136794,83791
1140025,83791
1152482,94363
1147812,234670
1160617,2121380
1170773,131550
1165618,94363
1168190,234670
1168543,1451598
1167592,83791
1160617,3400072
1160617,3626872
1160617,4966088
1190640,131550
1179004,94363
1185991,94363
1192531,234670
1196820,234670
1184173,1451598
1196820,83791
1186340,2223756
1195721,4966088
1206681,248515
1222973,764362
1222973,3887553
1230621,94363
1237925,94363
1234704,107586
1234704,1507128
1254759,94363
1261903,234670
1251789,32161
1262777,258295
1262777,2583420
1251789,1425554
1284151,131550
1268771,94363
1281888,1451598
1267359,3629732
1296743,94363
1302430,94363
1304047,94363
1296534,234670
1302430,28699
1302430,48827
1302430,63883
1302430,83715
1302430,94363
1302430,157074
1302430,170619
1302430,257765
1302430,305275
1302430,358957
1302430,899968
1302430,1406564
1302430,1431774
1302430,1659511
1302430,1717087
1302430,1920257
1302430,1974613
1302430,2252644
1302430,3320495
1302430,3451432
1302430,3607838
1302430,10105689
1296534,1451598
1304047,1451598
1293997,83791
1291942,1958789
1286245,2337662
1286245,3034912
1299404,5094785
1318052,248515
1326462,83791
1315826,1425554
1318063,1425554
1354434,234670
1343770,44646
1344265,24452
1344265,39041
1344265,108028
1344265,190466
1344265,248506
1344265,259680
1344265,665521
1344265,2221510
1344265,3102864
1344265,3513568
1344265,8188270
1360422,1360424
1360424,1360422
1360347,2337662
1360422,4541056
1380766,234670
1382471,83791
1382471,764362
1369349,995
1369349,1570
1369349,2099
1369349,2367
1369349,5823
1369349,8823
1369349,9236
1369349,9883
1369349,10689
1369349,11582
1369349,11961
1369349,13063
1369349,14765
1369349,28538
1369349,44905
1369349,74746
1369349,75324
1369349,97717
1369349,97819
1369349,108349
1369349,112064
1369349,112141
1369349,160317
1369349,271232
1369349,300174
1369349,372558
1369349,880803
1369349,1055024
1369349,1248323
1369349,1250886
1369349,1443849
1369349,1644128
1369349,2004747
1369349,2020826
1369349,2666187
1369349,2774524
1369349,3102864
1369349,3629732
1369349,6819168
1382471,30091
1382471,81116
1382471,83791
1382471,107885
1382471,143663
1382471,153182
1382471,191381
1382471,343909
1382471,403109
1382471,764362
1382471,1122815
1382471,1246906
1382471,1712306
1382471,1717563
1382471,1979481
1382471,2007782
1382471,2018639
1382471,2293917
1382471,2466322
1382471,2647803
1382471,3152897
1382471,3154731
1382471,3322165
1382471,3447196
1382471,3576064
1382471,30450932
1386919,22126
1386919,49563
1386919,94555
1386919,137388
1386919,144970
1386919,261868
1386919,384856
1386919,960092
1386919,1072632
1386919,1893496
1386919,2016136
1386919,3096509
1386919,3105083
1386919,8020405
1382471,1717563
1369349,3629732
1394802,131550
1396258,131550
1393074,94363
1397211,94363
1394107,234670
1390713,83791
1396258,366549
1391269,3629732
1406376,131550
1419848,131550
1403461,94363
1404724,94363
1419848,94363
1420531,1302430
1411137,1451598
1403458,83791
1419848,83791
1419848,168661
1419848,257433
1419848,829426
1419848,1016956
1419848,1016956
1414374,1425554
1445089,94363
1426348,234670
1443849,234670
1431774,1302430
1427625,1451598
1431774,83791
1433546,83791
1436103,83791
1444421,83791
1445812,83791
1425554,32161
1431774,664457
1425554,32161
1425554,289543
1425554,1251789
1425554,1315826
1425554,1318063
1425554,1414374
1425554,1481821
1425554,1890567
1425554,1895515
1425554,2085288
1425554,2085289
1425554,2184783
1425554,2185888
1425554,2337662
1425554,2391161
1425554,2731941
1425554,2952777
1425554,3258913
1425554,3766781
1425554,6796799
1425554,7082898
1425554,8592068
1425554,10281050
1425554,30850527
1425554,2337662
1446384,94363
1447964,83791
1451207,4966088
1453870,94363
1454401,234670
1456508,234670
1451598,1412
1451598,1934
1451598,2099
1451598,2421
1451598,2427
1451598,2441
1451598,2532
1451598,3569
1451598,3678
1451598,3871
1451598,4509
1451598,4786
1451598,5096
1451598,6240
1451598,6931
1451598,7326
1451598,7982
1451598,8295
1451598,8823
1451598,9308
1451598,9577
1451598,9888
1451598,11213
1451598,12979
1451598,13384
1451598,13511
1451598,14533
1451598,15376
1451598,16042
1451598,16110
1451598,18556
1451598,22152
1451598,22902
1451598,22947
1451598,23042
1451598,23883
1451598,24452
1451598,24858
1451598,27562
1451598,30063
1451598,30074
1451598,30937
1451598,32841
1451598,34389
1451598,36166
1451598,36428
1451598,40392
1451598,40872
1451598,41591
1451598,43112
1451598,43216
1451598,50522
1451598,52739
1451598,53055
1451598,53858
1451598,54855
1451598,55717
1451598,61544
1451598,64457
1451598,64531
1451598,65448
1451598,65687
1451598,65769
1451598,69481
1451598,71800
1451598,72593
1451598,79000
1451598,80662
1451598,81601
1451598,83791
1451598,86608
1451598,95044
1451598,95823
1451598,95914
1451598,97597
1451598,97819
1451598,97870
1451598,107885
1451598,107966
1451598,113589
1451598,118811
1451598,123126
1451598,123448
1451598,123507
1451598,124544
1451598,125411
1451598,128906
1451598,132093
1451598,135450
1451598,135739
1451598,137134
1451598,143926
1451598,149515
1451598,150408
1451598,155140
1451598,160243
1451598,161401
1451598,163663
1451598,170619
1451598,243445
