"source","target","weight"
2289,"gcc machine description",3
2289,"haskell",321
2289,"html",120
2289,"idris",14
2289,"java",26
2289,"javascript",258
2289,"m4",3
2289,"makefile",341
2289,"nix",7
2289,"objective-c",241
2289,"ocaml",22
2289,"perl",85
2289,"protocol buffer",12
2289,"purescript",260
2289,"python",78
2289,"racket",2
2289,"ruby",154
2289,"rust",24
2289,"scala",12
2289,"shell",713
2289,"standard ml",396
2289,"swift",88
2289,"tex",153
2289,"typescript",4
2289,"viml",2
2367,"c",41
2367,"c++",4
2367,"cmake",4
2367,"coffeescript",2
2367,"css",59
2367,"e",1
2367,"html",1178
2367,"java",7
2367,"javascript",13
2367,"makefile",1104
2367,"objective-c",1202
2367,"perl",3
2367,"protocol buffer",4
2367,"r",44
2367,"ruby",1225
2367,"shell",49
2367,"swift",22
2367,"tex",44
2367,"yacc",3
2421,"awk",4
2421,"batchfile",27
2421,"c",1369
2421,"c#",15
2421,"c++",52
2421,"coffeescript",2
2421,"css",1372
2421,"cucumber",30
2421,"dtrace",4
2421,"freemarker",12
2421,"groff",3
2421,"groovy",15
2421,"html",1362
2421,"java",73
2421,"javascript",32
2421,"kotlin",4
2421,"makefile",30
2421,"mathematica",6
2421,"objective-c",1510
2421,"perl",6
2421,"pure data",15
2421,"python",17
2421,"ruby",1519
2421,"scala",6
2421,"shell",1411
2421,"smarty",12
2421,"sqlpl",12
2421,"swift",1313
2421,"typescript",2
2421,"xslt",1317
2427,"applescript",6
2427,"c",69
2427,"c++",37
2427,"coffeescript",164
2427,"css",229
2427,"e",3
2427,"go",8
2427,"groff",6
2427,"html",117
2427,"javascript",86
2427,"makefile",333
2427,"nginx",8
2427,"objective-c",3387
2427,"objective-c++",6
2427,"python",14
2427,"ruby",4295
2427,"shell",115
2427,"swift",891
2427,"typescript",8
2427,"yacc",9
2441,"c",296
2441,"c++",623
2441,"clojure",3
2441,"coffeescript",8
2441,"css",70
2441,"digital command language",18
2441,"go",3
2441,"groff",14
2441,"html",37
2441,"javascript",42
2441,"m",1
2441,"makefile",9
2441,"nginx",18
2441,"objective-c",844
2441,"objective-c++",4
2441,"perl",2
2441,"php",4
2441,"python",42
2441,"ruby",893
2441,"shell",140
2441,"swift",767
2441,"viml",4
2532,"apacheconf",42
2532,"batchfile",29665
2532,"c",29667
2532,"c++",29707
2532,"clojure",28
2532,"cmake",8
2532,"coffeescript",22
2532,"css",30053
2532,"f#",1
2532,"glsl",29671
2532,"groff",9885
2532,"html",30248
2532,"java",26
2532,"javascript",30340
2532,"makefile",34
2532,"mathematica",4
2532,"maxscript",19770
2532,"perl",8
2532,"processing",12
2532,"protocol buffer",4
2532,"python",29927
2532,"ruby",30
2532,"scala",10
2532,"shell",30036
2823,"antlr",4
2823,"apacheconf",151
2823,"batchfile",40
2823,"c",180
2823,"c++",144
2823,"cmake",56
2823,"coffeescript",74
2823,"css",1455
2823,"cucumber",2
2823,"dart",45
2823,"digital command language",4
2823,"e",12
2823,"emacs lisp",207
2823,"go",209
2823,"html",3201
2823,"java",76
2823,"javascript",2535
2823,"jupyter notebook",1
2823,"lex",6
2823,"liquid",94
2823,"lua",2
2823,"m4",2
2823,"makefile",675
2823,"mathematica",28
2823,"mirah",6
2823,"nginx",96
2823,"objective-c",56
2823,"perl",99
2823,"php",160
2823,"plsql",2
2823,"protocol buffer",6
2823,"python",274
2823,"ragel in ruby host",3
2823,"rexx",1
2823,"ruby",4805
2823,"scilab",6
2823,"shell",479
2823,"smarty",94
2823,"swift",4
2823,"tcl",9
2823,"vcl",6
2823,"xslt",121
2823,"yacc",45
2959,"batchfile",8
2959,"c++",4
2959,"clojure",3
2959,"css",8
2959,"d",4
2959,"html",8
2959,"java",8
2959,"javascript",8
2959,"makefile",4
2959,"plsql",8
2959,"python",2
2959,"scala",139
2959,"shell",28
3142,"actionscript",6
3142,"antlr",8
3142,"apacheconf",14
3142,"assembly",22
3142,"awk",4
3142,"batchfile",29
3142,"c",147
3142,"c++",99
3142,"coffeescript",44
3142,"css",97
3142,"cucumber",14
3142,"digital command language",6
3142,"dtrace",3
3142,"e",18
3142,"elixir",4
3142,"gdb",1
3142,"groff",3
3142,"html",1384
3142,"java",42
3142,"javascript",113
3142,"lex",12
3142,"llvm",2
3142,"m4",4
3142,"makefile",98
3142,"objective-c",88
3142,"perl",72
3142,"perl6",63
3142,"php",15
3142,"powershell",6
3142,"puppet",34
3142,"python",19
3142,"rexx",2
3142,"ruby",1647
3142,"rust",10
3142,"scilab",12
3142,"shell",189
3142,"slash",69
3142,"smarty",6
3142,"swift",6
3142,"tcl",18
3142,"visual basic",6
3142,"xslt",18
3142,"yacc",84
3339,"applescript",84
3339,"assembly",39
3339,"autohotkey",27
3339,"batchfile",176
3339,"c",345
3339,"c#",47
3339,"c++",141
3339,"clojure",27
3339,"cmake",8
3339,"coffeescript",18
3339,"css",480
3339,"d",9
3339,"digital command language",4
3339,"dtrace",9
3339,"emacs lisp",57
3339,"fortran",27
3339,"gap",30
3339,"gdb",9
3339,"go",39
3339,"groff",82
3339,"groovy",8
3339,"html",855
3339,"inno setup",2
3339,"java",27
3339,"javascript",887
3339,"julia",27
3339,"lua",27
3339,"m4",13
3339,"makefile",801
3339,"mathematica",27
3339,"matlab",27
3339,"nsis",56
3339,"objective-c",104
3339,"objective-c++",4
3339,"pawn",9
3339,"perl",108
3339,"perl6",8
3339,"php",33
3339,"pov-ray sdl",6
3339,"powershell",14
3339,"python",1007
3339,"r",66
3339,"ruby",63
3339,"scala",27
3339,"scheme",27
3339,"shell",346
3339,"smalltalk",4
3339,"stata",27
3339,"tcl",39
3339,"typescript",77
3339,"visual basic",35
3339,"yacc",30
3383,"batchfile",4
3383,"css",4
3383,"html",4
3383,"ruby",4
3464,"javascript",4
3464,"objective-c",6
3464,"ruby",4
3464,"shell",4
3464,"swift",2
3569,"antlr",22
3569,"applescript",3
3569,"asp",3
3569,"assembly",2
3569,"awk",22
3569,"batchfile",580
3569,"c",247
3569,"c++",61
3569,"coffeescript",20
3569,"css",4470
3569,"cucumber",14
3569,"d",6
3569,"emacs lisp",681
3569,"gcc machine description",2
3569,"gnuplot",4
3569,"go",6
3569,"groff",44
3569,"html",4396
3569,"java",7
3569,"javascript",2352
3569,"lex",22
3569,"lua",500
3569,"makefile",6432
3569,"mako",8
3569,"nsis",96
3569,"objective-c",14
3569,"pascal",22
3569,"perl",5
3569,"php",25
3569,"plpgsql",18
3569,"powershell",121
3569,"puppet",22
3569,"python",6731
3569,"r",6
3569,"ruby",31
3569,"rust",143
3569,"saltstack",96
3569,"scheme",48
3569,"shell",1607
3569,"sqlpl",18
3569,"swift",6
3569,"tcl",102
3569,"tex",13
3569,"typescript",2
3569,"viml",704
3569,"visual basic",3
3569,"xslt",7
3569,"yacc",22
3613,"c",26
3613,"c++",29
3613,"coffeescript",8
3613,"css",41
3613,"cucumber",12
3613,"e",4
3613,"gcc machine description",1
3613,"go",19
3613,"html",85
3613,"javascript",41
3613,"logos",3
3613,"makefile",8
3613,"nemerle",6
3613,"newlisp",8
3613,"perl",6
3613,"powershell",2
3613,"python",8
3613,"ragel in ruby host",6
3613,"ruby",318
3613,"shell",100
3613,"yacc",12
3631,"1c enterprise",5
3631,"actionscript",18
3631,"awk",346
3631,"batchfile",27
3631,"c",28
3631,"c#",27
3631,"c++",24
3631,"css",15
3631,"emacs lisp",348
3631,"f#",27
3631,"forth",12
3631,"glsl",27
3631,"groff",2
3631,"groovy",6
3631,"haskell",12
3631,"html",17
3631,"idris",14
3631,"java",12
3631,"javascript",15
3631,"m4",5
3631,"makefile",4526
3631,"nix",6
3631,"ocaml",27
3631,"perl",26
3631,"postscript",2
3631,"powershell",27
3631,"python",4179
3631,"ruby",19
3631,"shell",3169
3631,"standard ml",27
3631,"tcl",4
3631,"tex",2
3631,"visual basic",12
3678,"batchfile",216
3678,"c",242
3678,"c++",252
3678,"cmake",125
3678,"coffeescript",2
3678,"css",162
3678,"html",16
3678,"java",14
3678,"javascript",236
3678,"makefile",268
3678,"nsis",50
3678,"objective-c",128
3678,"python",123
3678,"ruby",68
3678,"shell",153
3789,"apacheconf",8
3789,"asp",8
3789,"assembly",6
3789,"batchfile",40
3789,"c",1970
3789,"c#",8
3789,"c++",82
3789,"clojure",8
3789,"cmake",14
3789,"crystal",8
3789,"css",119
3789,"d",8
3789,"dart",8
